audio,phonemes,ipa
arabic_speech_corpus/wav/ARA NORM  0895.wav,sil w A q AA' l a l E u0 l a m aa' < u0 < i0' nn a m i0' ^ l a h aa' * i0 h i0 l < a f k aa' r i0 sil t a z ii0' d u1 m f a' h m a h u1 m l i0 k a y f ii0' y a t i0 t a E b ii0' r i0 nn aa' s i0 E a' n E a w AA T I0' f i0 h i1 m sil w a m u0 r AA q A b a' t i0 h aa w a' m aa l i0' h a * aa m i0' n i0 r t i0 b AA' T I1 n m u0 h i0' mm i1 n sil b i0 SS I0' HH a t i0 nn a f s ii0' y a t i0 w a l j a s a d ii0' y a t i0 sil w a n a w E ii0' y a t i0 l E a l AA q AA' t i0 m a' E a l < aa x A r ii0' n a sil b a' l H a' tt aa k a y f ii0' y a t i0 t a E aa' m u0 l i0 nn aa' s i0 m a' E b a' E D I0 h i1 m b i0 $ a' k l i1 n j a' yy i0 d i1 n sil, w ɑ q ɑ l a l ʕ u l a m ɑ ʔ u ʔ i n a m i θ l a h ɑ ð i h i l ʔ a f k ɑ r i  t a z i d o̞ m f a h m a h o̞ m l i k a j f i j a t i t a ʕ b i r i n ɑ s i ʕ a n ʕ a w ɑ t i f i h ɪ m  w a m u r ɑ q ɑ b a t i h ɑ w a m ɑ l i h a ð ɑ m i n i r t i b ɑ t ɪ n m u h i m ɪ n  b i sˤ i ħ a t i n a f s i j a t i w a l ʒ a s a d i j a t i  w a n a w ʕ i j a t i l ʕ a l ɑ q ɑ t i m a ʕ a l ʔ ɑ x ɑ r i n a  b a l ħ a t ɑ k a j f i j a t i t a ʕ ɑ m u l i n ɑ s i m a ʕ b a ʕ dˤ i h ɪ m b i ʃ a k l ɪ n ʒ a j i d ɪ n 
arabic_speech_corpus/wav/ARA NORM  1330.wav,sil t a ss uu0 s a' ww a r a sil w a t a ss uu0' s a r a sil w a t u0 ss uu0' s a sil t a s i0' ss uu0 sil, t a s u s a w a r a  w a t a s u s a r a  w a t u s u s a  t a s i s u 
arabic_speech_corpus/wav/ARA NORM  0305.wav,sil b a' E d a r i0' H l a t i1 n s t a' g r A q A t m i0 l y aa r aa' t i0 ss i0 n ii0' n i0 sil m u0' n * u0 n a' $ < a t i0 nn I0 Z AA' m i0 $$ a m s ii0' y i0 sil, b a ʕ d a r i ħ l a t ɪ n s t a ɣ r ɑ q ɑ t m i l j ɑ r ɑ t i s i n i n i  m u n ð u n a ʃ ʔ a t i n i ðˤ ɑ m i ʃ a m s i j i 
arabic_speech_corpus/wav/ARA NORM  0258.wav,sil w a y uu0' j a d u0 b i0 j aa' m i0 E i0 l q A r a w ii0 y ii0' n a s a' b E a t a E a' $ a r a b aa' b a n sil, w a j u ʒ a d u b i ʒ ɑ m i ʕ i l q ɑ r a w i j i n a s a b ʕ a t a ʕ a ʃ a r a b ɑ b a n 
arabic_speech_corpus/wav/ARA NORM  1554.wav,sil k a w S b a r a sil w a t a k a w SS A r a sil w a t u0 k a' w S A k u1 n sil w a s a' kk u1 n sil t A S A rr u0 k a uu0 sil, k a w sˤ b a r a  w a t a k a w sˤ ɑ r a  w a t u k a w sˤ ɑ k o̞ n  w a s a k o̞ n  t ɑ sˤ ɑ r u k a u 
arabic_speech_corpus/wav/ARA NORM  1719.wav,sil Z I0' s b a r a sil w a t A Z I0' ss a r a sil w a t I0 Z I0 S UU0' Z I1 n sil w a s A' ZZ I1 n sil t a s a' rr U0 Z I0 sil, ðˤ i s b a r a  w a t ɑ ðˤ i s a r a  w a t i ðˤ i sˤ u ðˤ ɪ n  w a s ɑ ðˤ ɪ n  t a s a r o̞ ðˤ i 
arabic_speech_corpus/wav/ARA NORM  1579.wav,sil n a y S b a r a sil w a t a n a y SS A r a sil w a t u0 n a' y S A n u1 n sil w a s a' nn u1 n sil t A S A rr u0 n a ii0 sil, n a j sˤ b a r a  w a t a n a j sˤ ɑ r a  w a t u n a j sˤ ɑ n o̞ n  w a s a n o̞ n  t ɑ sˤ ɑ r u n a i 
arabic_speech_corpus/wav/ARA NORM  1364.wav,sil t A qq U0 s a' ww a r a sil w a t A qq U0' s a r a sil w a t U0' qq U0 s a sil t a s I0' qq U0 sil, t ɑ q o̞ s a w a r a  w a t ɑ q o̞ s a r a  w a t o̞ q o̞ s a  t a s i q o̞ 
arabic_speech_corpus/wav/ARA NORM  0835.wav,sil t a mm a w s a' ww a r a sil w a t a mm a' w s a r a sil w a t u0 mm a' w s a sil t a s i0 mm a uu0 sil, t a m a w s a w a r a  w a t a m a w s a r a  w a t u m a w s a  t a s i m a u 
arabic_speech_corpus/wav/ARA NORM  1038.wav,sil y U0 T I0' ll u0 l k aa' t i0 b u0 l m a g r i0 b ii0' y u0 sil < a TT AA' h i1 r b i0' n j a ll uu0' n E a' l aa q U0 rr aa' < i0 h i0 h aa' * i0 h i0 l m a' rr a sil E a' b r a m a' E r I0 D I1 n t a $ k ii0 l ii0' y i1 n b i0 m u0 rr aa' k i1 $ sil l i0 < a' ww a l i0 m a' rr a t i1 n b i0 l m a' g r i1 b sil, j o̞ t i l u l k ɑ t i b u l m a ɣ r i b i j u  ʔ a t ɑ h ɪ r b i n ʒ a l u n ʕ a l ɑ q o̞ r ɑ ʔ i h i h ɑ ð i h i l m a r a  ʕ a b r a m a ʕ r i dˤ ɪ n t a ʃ k i l i j ɪ n b i m u r ɑ k ɪ ʃ  l i ʔ a w a l i m a r a t ɪ n b i l m a ɣ r ɪ b 
arabic_speech_corpus/wav/ARA NORM  0543.wav,sil w a t a' $ h a d u0 l m u0 b aa r a y aa' t u0 l < a' r b a E u0 w u0 j uu0' d a f a r ii0 q A' y n a s a' b A q A < a' n f aa' z aa b i0 l A' q A b i0 l k a' < s i0 sil, w a t a ʃ h a d u l m u b ɑ r a j ɑ t u l ʔ a r b a ʕ u w u ʒ u d a f a r i q ɑ j n a s a b ɑ q ɑ ʔ a n f ɑ z ɑ b i l ɑ q ɑ b i l k a ʔ s i 
arabic_speech_corpus/wav/ARA NORM  0991.wav,sil w a y a' f r I0 D U0 l q AA n uu0' n u0 l < a m i0 r i0 k ii0' y u0 D A w aa' b I0 T A S AA r i0' m a t a n sil E a' l aa j a' m E i0 w a s t i0 x d aa' m i0 m a E l uu0 m aa' t i1 n sil t a t a E a' ll A q U0 b i0' m a n y A q I0' ll u0 s i0' nn u0 h u1 m E a' n ^ a l aa' ^ a t i0 E a' $ r a E aa' m a n sil, w a j a f r i dˤ o̞ l q ɑ n u n u l ʔ a m i r i k i j u dˤ ɑ w ɑ b i t ɑ sˤ ɑ r i m a t a n  ʕ a l ɑ ʒ a m ʕ i w a s t i x d ɑ m i m a ʕ l u m ɑ t ɪ n  t a t a ʕ a l ɑ q o̞ b i m a n j ɑ q i l u s i n u h o̞ m ʕ a n θ a l ɑ θ a t i ʕ a ʃ r a ʕ ɑ m a n 
arabic_speech_corpus/wav/ARA NORM  1081.wav,sil < I0 D T A' rr a t T AA < i0' r a t u0 m uu0 r aa l ii0' s sil l i0 l h u0 b uu0' T I0 b i0 m A T AA' r i0 f ii0 y i0' nn aa sil b a' E d a r a' f D I0 d u0' w a l i1 n < uu0 r uu0 b ii0' y a t i1 n sil, ʔ i dˤ t ɑ r a t t ɑ ʔ i r a t u m u r ɑ l i s  l i l h u b u t i b i m ɑ t ɑ r i f i j i n ɑ  b a ʕ d a r a f dˤ i d u w a l ɪ n ʔ u r u b i j a t ɪ n 
arabic_speech_corpus/wav/ARA NORM  1207.wav,sil t A ZZ UU0 S A' ww a r a sil w a t A ZZ UU0' S A r a sil w a t U0 ZZ UU0' S A sil t A S A' ZZ uu0 sil, t ɑ ðˤ u sˤ ɑ w a r a  w a t ɑ ðˤ u sˤ ɑ r a  w a t o̞ ðˤ u sˤ ɑ  t ɑ sˤ ɑ ðˤ u 
arabic_speech_corpus/wav/ARA NORM  0453.wav,sil w a n t i0 $ aa' r i0 l m a x AA' w i0 f i0 m i0' n a l m u0 n t a j aa' t i0 zz i0 r aa E ii0' y a t i0 sil l m u0 s t a n b a' t a t i0 m i0' n a l b u0 * uu0' r i0 l m u0 h a jj a' n a t i0 sil w i0 r aa ^ ii0' y a n sil, w a n t i ʃ ɑ r i l m a x ɑ w i f i m i n a l m u n t a ʒ ɑ t i z i r ɑ ʕ i j a t i  l m u s t a n b a t a t i m i n a l b u ð u r i l m u h a ʒ a n a t i  w i r ɑ θ i j a n 
arabic_speech_corpus/wav/ARA NORM  0072.wav,sil w a < u0' x r a m a x T UU0' T A t A n l aa' y a t a j aa' w a z u0 H a' j m u0 h aa k a' ff a l y a d i0 sil, w a ʔ u x r a m a x t u t ɑ t ɑ n l ɑ j a t a ʒ ɑ w a z u ħ a ʒ m u h ɑ k a f a l j a d i 
arabic_speech_corpus/wav/ARA NORM  1525.wav,sil E UU0' S b a r a sil w a t a E UU0' SS A r a sil w a t u0 E UU0' S A E u1 n sil w a s a' EE u1 n sil t A S A' rr u0 E u0 sil, ʕ u sˤ b a r a  w a t a ʕ u sˤ ɑ r a  w a t u ʕ u sˤ ɑ ʕ o̞ n  w a s a ʕ o̞ n  t ɑ sˤ ɑ r u ʕ u 
arabic_speech_corpus/wav/ARA NORM  1442.wav,sil H a w S b a r a sil w a t a H a w SS A r a sil w a t u0 H a' w S A H u1 n sil w a s a' HH u1 n sil t A S A rr u0 H a uu0 sil, ħ a w sˤ b a r a  w a t a ħ a w sˤ ɑ r a  w a t u ħ a w sˤ ɑ ħ o̞ n  w a s a ħ o̞ n  t ɑ sˤ ɑ r u ħ a u 
arabic_speech_corpus/wav/ARA NORM  0573.wav,sil H a' s b a t a < k ii0' d i0 h i1 m sil, ħ a s b a t a ʔ k i d i h ɪ m 
arabic_speech_corpus/wav/ARA NORM  1103.wav,sil t a bb a y S A' ww a r a sil w a t a bb a' y S A r a sil w a t u0 bb a' y S A sil t A S A bb a ii0 sil, t a b a j sˤ ɑ w a r a  w a t a b a j sˤ ɑ r a  w a t u b a j sˤ ɑ  t ɑ sˤ ɑ b a i 
arabic_speech_corpus/wav/ARA NORM  1555.wav,sil k II0' S b a r a sil w a t a k II0' SS A r a sil w a t u0 k II0' S A k u1 n sil w a s a' kk u1 n sil t A S A' rr u0 k ii0 sil, k ɪ sˤ b a r a  w a t a k ɪ sˤ ɑ r a  w a t u k ɪ sˤ ɑ k o̞ n  w a s a k o̞ n  t ɑ sˤ ɑ r u k i 
arabic_speech_corpus/wav/ARA NORM  0250.wav,sil y A' q A E u0 h aa' * aa l m a' E b a d u0 j a n uu0 b ii0' y a m a d ii0' n a t i0 m a' < r i0 b a tt aa r ii0 x II0' y a t i0 sil, j ɑ q ɑ ʕ u h ɑ ð ɑ l m a ʕ b a d u ʒ a n u b i j a m a d i n a t i m a ʔ r i b a t ɑ r i x ɪ j a t i 
arabic_speech_corpus/wav/ARA NORM  0084.wav,sil w A q AA' l a k ii1' b i1 l < i0' nn a l H u0 k uu0' m a t a l b a r ii0 T AA n ii0' y a t a s a t a' $ r a E u0 f i0 < i0 d x AA' l i0 t a E d ii0 l aa' t i1 n E a' l a l q A w aa n ii0' n i0 sil b i0' m aa y a' s m a H u0 b i0 t a s ii0' y r i0 h aa' * i0 h i0 ss a yy aa r aa' t i0 f i0 $$ a w aa' r i0 E i0 l E aa' mm a t i0 sil, w ɑ q ɑ l a k ɪ b ɪ l ʔ i n a l ħ u k u m a t a l b a r i t ɑ n i j a t a s a t a ʃ r a ʕ u f i ʔ i d x ɑ l i t a ʕ d i l ɑ t ɪ n ʕ a l a l q ɑ w ɑ n i n i  b i m ɑ j a s m a ħ u b i t a s i j r i h ɑ ð i h i s a j ɑ r ɑ t i f i ʃ a w ɑ r i ʕ i l ʕ ɑ m a t i 
arabic_speech_corpus/wav/ARA NORM  0542.wav,sil m a' w q I0 f u0 n I0 q AA' b a t i0 SS A H a f ii0 y ii0' n a f ii0' E a' h d i0 rr a < ii0' s i0 l m I0 S r ii0' y i0 sil < a l m a E z uu0' l i0 m u0 H a' mm a d m u0' r s i0 sil < a l k a ^ ii0' r u0 m i0' n a DD A j ii0' j i0 w a l i0 H t i0 j aa' j i0 sil w a m a w q I0' f u0 h aa f i0 E a' h d i0 l < i0 n q I0 l aa' b i0 sil < a nn a' w m u0 w a' ll aa m u0 b aa l aa a t u0 sil, m a w q i f u n i q ɑ b a t i sˤ ɑ ħ a f i j i n a f i ʕ a h d i r a ʔ i s i l m i sˤ r i j i  ʔ a l m a ʕ z u l i m u ħ a m a d m u r s i  ʔ a l k a θ i r u m i n a dˤ ɑ ʒ i ʒ i w a l i ħ t i ʒ ɑ ʒ i  w a m a w q i f u h ɑ f i ʕ a h d i l ʔ i n q i l ɑ b i  ʔ a n a w m u w a l ɑ m u b ɑ l ɑ a t u 
arabic_speech_corpus/wav/ARA NORM  0115.wav,sil w a t a g T I0' y a t u0 l j u0' z < i0 l m a r f uu0' E i0 b i0 < i0 z aa' r i1 n m i0' n a l q U0 m aa' $ i0 l q U0 T n ii0' y i0 l < a' b y A D I0 sil, w a t a ɣ t i j a t u l ʒ u z ʔ i l m a r f u ʕ i b i ʔ i z ɑ r ɪ n m i n a l q o̞ m ɑ ʃ i l q o̞ t n i j i l ʔ a b j ɑ dˤ i 
arabic_speech_corpus/wav/ARA NORM  0348.wav,sil < a l m a d E uu0' m a t i0 b i0 DD A r a b aa' t l j a ww ii0' y a t i0 sil < a' ll a t ii0 y a $ u0' nn u0 h a tt a H aa' l u0 f u0 dd a w l ii0' y E a' l a m a w AA' q I0 E i0 tt a n Z II0' m sil, ʔ a l m a d ʕ u m a t i b i dˤ ɑ r a b ɑ t l ʒ a w i j a t i  ʔ a l a t i j a ʃ u n u h a t a ħ ɑ l u f u d a w l i j ʕ a l a m a w ɑ q i ʕ i t a n ðˤ ɪ m 
arabic_speech_corpus/wav/ARA NORM  0401.wav,sil w a * a' l i0 k a b i0 m u0 $ aa r a k a' t i0 h i0 ll a' E i0 b a < a uu0 S T I0 H aa' b i0 h i0 f i0 j a' w l a t i1 n E a' l a l < A q d aa' m i0 sil, w a ð a l i k a b i m u ʃ ɑ r a k a t i h i l a ʕ i b a ʔ a u sˤ t i ħ ɑ b i h i f i ʒ a w l a t ɪ n ʕ a l a l ʔ ɑ q d ɑ m i 
arabic_speech_corpus/wav/ARA NORM  0886.wav,sil f a y s b a r a sil w a t a f a y ss a r a sil w a t i0 f a y S uu0' f i1 n sil w a s a' ff i1 n sil t a s a rr u0 f a ii0 sil, f a j s b a r a  w a t a f a j s a r a  w a t i f a j sˤ u f ɪ n  w a s a f ɪ n  t a s a r u f a i 
arabic_speech_corpus/wav/ARA NORM  1338.wav,sil t A SS AA s a' ww a r a sil w a t A SS AA' s a r a sil w a t U0 SS AA' s a sil t a s I0' SS A sil, t ɑ sˤ ɑ s a w a r a  w a t ɑ sˤ ɑ s a r a  w a t o̞ sˤ ɑ s a  t a s i sˤ ɑ 
arabic_speech_corpus/wav/ARA NORM  1595.wav,sil w a y S b a r a sil w a t a w a y SS A r a sil w a t u0 w a' y S A w u1 n sil w a s a' ww u1 n sil t A S A rr u0 w a ii0 sil, w a j sˤ b a r a  w a t a w a j sˤ ɑ r a  w a t u w a j sˤ ɑ w o̞ n  w a s a w o̞ n  t ɑ sˤ ɑ r u w a i 
arabic_speech_corpus/wav/ARA NORM  0214.wav,sil < U0' S u0 S A n < A S H aa' b a l < i0 x t I0 S AA' S I0 sil < a l f i0 ll a n d ii0' y i0 sil t ii0' r u1 b ii0 t k aa m aa' k ii0 sil < a' ll a * i0 H a' ll a ^ aa n ii0' y a n sil w aa l i0 t $ ii0' k ii0 sil f ii0 t s l aa' f f ii0 s ii0' l ii0 sil < a l x AA' m i0 s i0 sil s i0' tt a t u1 n w a ^ a m aa n uu0' n a m i0' t r a n w a ^ a l aa' ^ a t u1 n w a s i0 tt uu0' n a s a n t i0 m i1' t r a n sil w aa' H i0 d u1 n w a ^ a m aa n uu0' n a m i0' t r a n w a ^ a l aa' ^ a t u1 n w a < a r b a E uu0' n a s a n t i0 m i1' t r a n sil w a nn a r w ii0 j ii0' y i0 sil < a n d r i0 y aa' s sil ^ uu1 r k i1 l t s i1 n sil ^ a m aa n uu0' n a m i0' t r a n w a t i0' s E a t u1 n w a s a b E uu0' n a s a n t i0 m i1' t r a n sil < a' ll a * i0 k t a f aa b i0 l m a' r k a z i0 ss aa' b i0 E i0 sil, ʔ o̞ sˤ u sˤ ɑ n ʔ ɑ sˤ ħ ɑ b a l ʔ i x t i sˤ ɑ sˤ i  ʔ a l f i l a n d i j i  t i r o̞ b i t k ɑ m ɑ k i  ʔ a l a ð i ħ a l a θ ɑ n i j a n  w ɑ l i t ʃ i k i  f i t s l ɑ f f i s i l i  ʔ a l x ɑ m i s i  s i t a t o̞ n w a θ a m ɑ n u n a m i t r a n w a θ a l ɑ θ a t o̞ n w a s i t u n a s a n t i m ɪ t r a n  w ɑ ħ i d o̞ n w a θ a m ɑ n u n a m i t r a n w a θ a l ɑ θ a t o̞ n w a ʔ a r b a ʕ u n a s a n t i m ɪ t r a n  w a n a r w i ʒ i j i  ʔ a n d r i j ɑ s  θ o̞ r k ɪ l t s ɪ n  θ a m ɑ n u n a m i t r a n w a t i s ʕ a t o̞ n w a s a b ʕ u n a s a n t i m ɪ t r a n  ʔ a l a ð i k t a f ɑ b i l m a r k a z i s ɑ b i ʕ i 
arabic_speech_corpus/wav/ARA NORM  1307.wav,sil t a jj i0 s a' ww a r a sil w a t a jj i0' s a r a sil w a t u0' jj i0 s a sil t a s i0' jj i0 sil, t a ʒ i s a w a r a  w a t a ʒ i s a r a  w a t u ʒ i s a  t a s i ʒ i 
arabic_speech_corpus/wav/ARA NORM  0004.wav,sil w a * a' k a r a tt A q r ii0' r u0 Ah a n a t a r aa' j u0 E A m a s aa' H a t i0 l j a l ii0' d i0 y u0' m k i0 n u0 Ah a yy u0 x I0' ll a b i0 m u0 E a dd a l aa' t i0 < i0 m d aa d aa' t i0 l m i0 y aa' h i0 sil l i0 E a' d a d i1 m i0' n < A' n h A r i0 < aa' s y a rr a < ii0 s ii0' y a t i0 ll a t ii0 t a' m b a E u0 m i0' n a l h A D A' b a t i0 sil, w a ð a k a r a t ɑ q r i r u  a n a t a r ɑ ʒ u ʕ ɑ m a s ɑ ħ a t i l ʒ a l i d i j u m k i n u  a j u x i l a b i m u ʕ a d a l ɑ t i ʔ i m d ɑ d ɑ t i l m i j ɑ h i  l i ʕ a d a d ɪ m i n ʔ ɑ n h ɑ r i ʔ ɑ s j a r a ʔ i s i j a t i l a t i t a m b a ʕ u m i n a l h ɑ dˤ ɑ b a t i 
arabic_speech_corpus/wav/ARA NORM  1320.wav,sil t a rr u0 s a' ww a r a sil w a t a rr u0' s a r a sil w a t u0' rr u0 s a sil t a s i0' rr u0 sil, t a r u s a w a r a  w a t a r u s a r a  w a t u r u s a  t a s i r u 
arabic_speech_corpus/wav/ARA NORM  1206.wav,sil t A ZZ I0 S A' ww a r a sil w a t A ZZ I0' S A r a sil w a t U0' ZZ I0 S A sil t A S A' ZZ I0 sil, t ɑ ðˤ i sˤ ɑ w a r a  w a t ɑ ðˤ i sˤ ɑ r a  w a t o̞ ðˤ i sˤ ɑ  t ɑ sˤ ɑ ðˤ i 
arabic_speech_corpus/wav/ARA NORM  1734.wav,sil g uu0' s b a r a sil w a t a g uu0' ss a r a sil w a t i0 g UU0 S uu0' g I1 n sil w a s a' gg I1 n sil t a s a' rr u0 g uu0 sil, ɣ u s b a r a  w a t a ɣ u s a r a  w a t i ɣ u sˤ u ɣ ɪ n  w a s a ɣ ɪ n  t a s a r u ɣ u 
arabic_speech_corpus/wav/ARA NORM  0528.wav,sil w a s aa' r a E a s u0 kk aa' n u0 DD I0' ff a t i0 l g A r b ii0' y a t i0 w a l < u0' r d u0 n i0 sil < i0' l aa t a x z ii0' n i0 l m u0' < a n i0 sil t a H a' ss u0 b a n l i0 l E AA S I0' f a t i0 sil, w a s ɑ r a ʕ a s u k ɑ n u dˤ i f a t i l ɣ ɑ r b i j a t i w a l ʔ u r d u n i  ʔ i l ɑ t a x z i n i l m u ʔ a n i  t a ħ a s u b a n l i l ʕ ɑ sˤ i f a t i 
